,precision,recall,f1-score,support
hate_speech,0.0,0.0,0.0,286.0
offensive_language,0.9045299561617146,0.9676915059927045,0.9350453172205438,3838.0
neither,0.8037602820211516,0.8211284513805522,0.8123515439429929,833.0
accuracy,0.8872301795440791,0.8872301795440791,0.8872301795440791,0.8872301795440791
macro avg,0.5694300793942887,0.5962733191244189,0.5824656203878456,4957.0
weighted avg,0.8354081675756062,0.8872301795440791,0.8604786692751585,4957.0
