,precision,recall,f1-score,support
hate_speech,0.2132435465768799,0.6643356643356644,0.32285471537807986,286.0
offensive_language,0.9572021718300863,0.7808754559666493,0.8600947051226862,3838.0
neither,0.7978609625668449,0.8955582232893158,0.8438914027149321,833.0
accuracy,0.7934234415977406,0.7934234415977406,0.7934234415977406,0.7934234415977406
macro avg,0.6561022269912703,0.7802564478638766,0.675613607738566,4957.0
weighted avg,0.8875020721450556,0.7934234415977406,0.8263751190882669,4957.0
