,precision,recall,f1-score,support
hate_speech,0.23328785811732605,0.5979020979020979,0.3356231599607458,286.0
offensive_language,0.9505796217205613,0.8118811881188119,0.8757729061270376,3838.0
neither,0.7769556025369979,0.8823529411764706,0.8263069139966274,833.0
accuracy,0.8113778495057494,0.8113778495057494,0.8113778495057494,0.8113778495057494
macro avg,0.6536076941249618,0.7640454090657934,0.6792343266948037,4957.0
weighted avg,0.8800179407904759,0.8113778495057494,0.8362958032728534,4957.0
