,precision,recall,f1-score,support
hate_speech,0.22337962962962962,0.6748251748251748,0.3356521739130435,286.0
offensive_language,0.9564118761844599,0.7889525794684732,0.8646487721302113,3838.0
neither,0.8015102481121898,0.8919567827130852,0.8443181818181819,833.0
accuracy,0.7996772241274964,0.7996772241274964,0.7996772241274964,0.7996772241274964
macro avg,0.6604339179754265,0.7852448456689111,0.6815397092871455,4957.0
weighted avg,0.8880882371489782,0.7996772241274964,0.8307112274822326,4957.0
