,precision,recall,f1-score,support
hate_speech,0.27140974967061926,0.7202797202797203,0.39425837320574164,286.0
offensive_language,0.9752217803609666,0.8306409588327254,0.8971436611791191,3838.0
neither,0.8288482238966631,0.9243697478991597,0.8740068104426788,833.0
accuracy,0.8400242081904378,0.8400242081904378,0.8400242081904378,0.8400242081904378
macro avg,0.6918265846427497,0.8250968090038685,0.7218029482758466,4957.0
weighted avg,0.910017137772263,0.8400242081904378,0.8642410610129218,4957.0
