,precision,recall,f1-score,support
hate_speech,0.23922114047287898,0.6013986013986014,0.34228855721393037,286.0
offensive_language,0.9586270303401777,0.8150078165711307,0.8810026756794818,3838.0
neither,0.7743589743589744,0.9063625450180072,0.8351769911504425,833.0
accuracy,0.8180351018761347,0.8180351018761347,0.8180351018761347,0.8180351018761347
macro avg,0.6574023817240103,0.7742563209959131,0.686156074681285,4957.0
weighted avg,0.8861546932140149,0.8180351018761347,0.8422201392473982,4957.0
