experiment_name,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,misclassified_samples,epochs_trained,training_time_seconds,trainable_parameters,non_trainable_parameters
bilstm_weighted_lemmatized,0.8093605003026024,0.6538088393264164,0.7836759923981473,0.6837353464970072,0.8355173647956673,945,5,20.2118814150017,2663043,0
lstm_weighted_lemmatized,0.7996772241274964,0.6604339179754265,0.7852448456689111,0.6815397092871455,0.8307112274822326,993,5,16.220681562997925,2611587,0
lstm_weighted_lemmatized_dropout,0.8113778495057494,0.6536076941249618,0.7640454090657934,0.6792343266948037,0.8362958032728534,935,6,20.041327982999064,2611587,0
simple_rnn_weighted_lemmatized,0.8103691749041759,0.6433469121139986,0.7540420242917604,0.6701768272910881,0.835792851482058,940,4,25.193455307002296,2574531,0
simple_rnn_weighted_stemmed,0.8065362114181965,0.6506287889780761,0.751205616403702,0.667713726156364,0.8377856657688625,959,4,25.67231409300075,2574531,0
simple_rnn_lemmatized,0.886624974783135,0.5669720130821191,0.5997724780375934,0.5829067583123478,0.8601939938699392,562,4,24.060275044001173,2574531,0
simple_rnn_stemmed,0.8872301795440791,0.5694300793942887,0.5962733191244189,0.5824656203878456,0.8604786692751585,559,4,27.61794750199988,2574531,0
