,precision,recall,f1-score,support
hate_speech,0.20475113122171945,0.6328671328671329,0.3094017094017094,286.0
offensive_language,0.9437460716530484,0.7824387701928087,0.8555555555555555,3838.0
neither,0.7946127946127947,0.8499399759903962,0.8213457076566125,833.0
accuracy,0.7851523098648376,0.7851523098648376,0.7851523098648376,0.7851523098648376
macro avg,0.6477033324958542,0.7550819596834458,0.6621009908712924,4957.0
weighted avg,0.8760477515526063,0.7851523098648376,0.8182957606594855,4957.0
