,precision,recall,f1-score,support
hate_speech,0.21068702290076335,0.4825174825174825,0.29330499468650373,286.0
offensive_language,0.9603900060938452,0.8212610734757686,0.8853932584269663,3838.0
neither,0.7245098039215686,0.8871548619447779,0.7976254722072316,833.0
accuracy,0.8127899939479524,0.8127899939479524,0.8127899939479524,0.8127899939479524
macro avg,0.6318622776387257,0.7303111393126763,0.6587745751069005,4957.0
weighted avg,0.8774964693573658,0.8127899939479524,0.8364830689271052,4957.0
