experiment_name,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,misclassified_samples,epochs_trained,training_time_seconds,trainable_parameters,non_trainable_parameters
lstm_glove_twitter_50_small_regularized_weighted_lemmatized,0.8400242081904378,0.6918265846427497,0.8250968090038685,0.7218029482758466,0.8642410610129218,793,11,130.25829236700156,1011203,0
lstm_glove_wiki_50_small_regularized_weighted_lemmatized,0.8339721605809965,0.6821917940158583,0.8228404587327521,0.7154633385239166,0.8578912551236434,823,9,104.72055241999988,1011203,0
lstm_small_regularized_weighted_lemmatized,0.8180351018761347,0.6574023817240103,0.7742563209959131,0.686156074681285,0.8422201392473982,902,7,86.142426522998,1292995,0
