,precision,recall,f1-score,support
hate_speech,0.20689655172413793,0.5664335664335665,0.3030869971936389,286.0
offensive_language,0.9524393985885241,0.808754559666493,0.8747358038607862,3838.0
neither,0.7617486338797814,0.8367346938775511,0.7974828375286042,833.0
accuracy,0.7994754892071818,0.7994754892071818,0.7994754892071818,0.7994754892071818
macro avg,0.6403615280641478,0.7373076066592036,0.6584352128610097,4957.0
weighted avg,0.8773797533987728,0.7994754892071818,0.8287718579940297,4957.0
