,precision,recall,f1-score,support
hate_speech,0.23660130718954248,0.6328671328671329,0.34443387250237867,286.0
offensive_language,0.9611163374098464,0.7985930171964565,0.8723495090365733,3838.0
neither,0.7637088733798604,0.9195678271308524,0.8344226579520697,833.0
accuracy,0.8093605003026024,0.8093605003026024,0.8093605003026024,0.8093605003026024
macro avg,0.6538088393264164,0.7836759923981473,0.6837353464970072,4957.0
weighted avg,0.8861412080614532,0.8093605003026024,0.8355173647956673,4957.0
