,precision,recall,f1-score,support
hate_speech,0.27091633466135456,0.7132867132867133,0.39268527430221367,286.0
offensive_language,0.9752475247524752,0.8212610734757686,0.8916548797736916,3838.0
neither,0.8004115226337448,0.9339735894357744,0.8620498614958448,833.0
accuracy,0.8339721605809965,0.8339721605809965,0.8339721605809965,0.8339721605809965
macro avg,0.6821917940158583,0.8228404587327521,0.7154633385239166,4957.0
weighted avg,0.9052299515971469,0.8339721605809965,0.8578912551236434,4957.0
