accuracy,loss,val_accuracy,val_loss
0.5689785480499268,0.9431325197219849,0.8454362154006958,0.5776576399803162
0.7600252032279968,0.7146648168563843,0.8537569046020508,0.4948193430900574
0.7885876297950745,0.6238458156585693,0.8416540622711182,0.4831983745098114
0.7960907816886902,0.5681727528572083,0.8298033475875854,0.4740442633628845
0.8142496943473816,0.5300803780555725,0.8280383348464966,0.4593610167503357
0.8121689558029175,0.49382999539375305,0.8262733221054077,0.4539419114589691
0.8156998753547668,0.4673388600349426,0.8073625564575195,0.4655083417892456
0.8253467679023743,0.4491291642189026,0.8328290581703186,0.4235791265964508
0.8267339468002319,0.4202831983566284,0.8066061735153198,0.4597506523132324
0.8351828455924988,0.40961527824401855,0.8018154501914978,0.4728219509124756
0.8407313823699951,0.3851584494113922,0.843419075012207,0.4263010323047638
