,Cautions,Crossings,Direction,No Entry,SpeedLimit
Cautions,244,7,0,0,0
Crossings,1,272,0,0,0
Direction,0,0,444,0,0
No Entry,0,0,0,440,0
SpeedLimit,0,0,1,0,1001
