,precision,recall,f1-score,support
Cautions,0.9959183673469387,0.9721115537848606,0.9838709677419355,251.0
Crossings,0.974910394265233,0.9963369963369964,0.9855072463768116,273.0
Direction,0.9977528089887641,1.0,0.9988751406074241,444.0
No Entry,1.0,1.0,1.0,440.0
SpeedLimit,1.0,0.999001996007984,0.9995007488766849,1002.0
accuracy,0.9962655601659751,0.9962655601659751,0.9962655601659751,0.9962655601659751
macro avg,0.9937163141201871,0.9934901092259683,0.9935508207205711,2410.0
weighted avg,0.9963187946180505,0.9962655601659751,0.9962636530988507,2410.0
