,precision,recall,f1-score,support
Cautions,0.98046875,1.0,0.9901380670611439,251.0
Crossings,1.0,0.9816849816849816,0.9907578558225508,273.0
Direction,1.0,1.0,1.0,444.0
No Entry,0.9932279909706546,1.0,0.9966024915062288,440.0
SpeedLimit,1.0,0.9970059880239521,0.9985007496251874,1002.0
accuracy,0.9966804979253112,0.9966804979253112,0.9966804979253112,0.9966804979253112
macro avg,0.9947393481941308,0.9957381939417868,0.9951998328030222,2410.0
weighted avg,0.9967294490776298,0.9966804979253112,0.9966823223481667,2410.0
