,precision,recall,f1-score,support
Cautions,0.9960159362549801,0.9960159362549801,0.9960159362549801,251.0
Crossings,0.9963235294117647,0.9926739926739927,0.9944954128440368,273.0
Direction,1.0,1.0,1.0,444.0
No Entry,0.9977324263038548,1.0,0.9988649262202043,440.0
SpeedLimit,0.999001996007984,0.999001996007984,0.999001996007984,1002.0
accuracy,0.9983402489626556,0.9983402489626556,0.9983402489626556,0.9983402489626556
macro avg,0.9978147775957167,0.9975383849873914,0.997675654265441,2410.0
weighted avg,0.9983396643581361,0.9983402489626556,0.9983393424246108,2410.0
