,precision,recall,f1-score,support
Cautions,0.9959349593495935,0.9760956175298805,0.9859154929577465,251.0
Crossings,0.974910394265233,0.9963369963369964,0.9855072463768116,273.0
Direction,1.0,0.9977477477477478,0.9988726042841037,444.0
No Entry,0.990990990990991,1.0,0.995475113122172,440.0
SpeedLimit,0.998997995991984,0.9950099800399201,0.997,1002.0
accuracy,0.9946058091286307,0.9946058091286307,0.9946058091286307,0.9946058091286307
macro avg,0.9921668681195603,0.9930380683309089,0.9925540913481667,2410.0
weighted avg,0.994673128817909,0.9946058091286307,0.9946102709830547,2410.0
