,Cautions,Crossings,Direction,No Entry,SpeedLimit
Cautions,251,0,0,0,0
Crossings,5,268,0,0,0
Direction,0,0,444,0,0
No Entry,0,0,0,440,0
SpeedLimit,0,0,0,3,999
