,precision,recall,f1-score,support
Cautions,0.9959514170040485,0.9800796812749004,0.9879518072289156,251.0
Crossings,0.9818181818181818,0.989010989010989,0.9854014598540146,273.0
Direction,1.0,1.0,1.0,444.0
No Entry,0.9909297052154195,0.9931818181818182,0.9920544835414302,440.0
SpeedLimit,0.9970089730807578,0.998003992015968,0.9975062344139651,1002.0
accuracy,0.9946058091286307,0.9946058091286307,0.9946058091286307,0.9946058091286307
macro avg,0.9931416554236815,0.992055296096735,0.9925827970076652,2410.0
weighted avg,0.9946191828323999,0.9946058091286307,0.9946040339400939,2410.0
