,Cautions,Crossings,Direction,No Entry,SpeedLimit
Cautions,248,3,0,0,0
Crossings,2,270,0,1,0
Direction,0,0,444,0,0
No Entry,0,0,0,439,1
SpeedLimit,0,0,0,0,1002
