,precision,recall,f1-score,support
Cautions,0.9958677685950413,0.9601593625498008,0.9776876267748479,251.0
Crossings,0.9679715302491103,0.9963369963369964,0.9819494584837545,273.0
Direction,0.9955156950672646,1.0,0.9977528089887641,444.0
No Entry,1.0,0.9977272727272727,0.9988623435722411,440.0
SpeedLimit,1.0,1.0,1.0,1002.0
accuracy,0.9950207468879668,0.9950207468879668,0.9950207468879668,0.9950207468879668
macro avg,0.9918709987822834,0.9908447263228141,0.9912504475639216,2410.0
weighted avg,0.9951153553050738,0.9950207468879668,0.9950097406013897,2410.0
