,precision,recall,f1-score,support
Cautions,0.992,0.9880478087649402,0.9900199600798403,251.0
Crossings,0.989010989010989,0.989010989010989,0.989010989010989,273.0
Direction,1.0,1.0,1.0,444.0
No Entry,0.9977272727272727,0.9977272727272727,0.9977272727272727,440.0
SpeedLimit,0.9990029910269193,1.0,0.9995012468827931,1002.0
accuracy,0.9970954356846473,0.9970954356846473,0.9970954356846473,0.9970954356846473
macro avg,0.9955482505530362,0.9949572141006403,0.995251893740179,2410.0
weighted avg,0.9970925298792419,0.9970954356846473,0.9970934686126965,2410.0
