,Cautions,Crossings,Direction,No Entry,SpeedLimit
Cautions,245,6,0,0,0
Crossings,1,272,0,0,0
Direction,0,0,443,0,1
No Entry,0,0,0,440,0
SpeedLimit,0,1,0,4,997
