,Cautions,Crossings,Direction,No Entry,SpeedLimit
Cautions,241,9,1,0,0
Crossings,1,272,0,0,0
Direction,0,0,444,0,0
No Entry,0,0,1,439,0
SpeedLimit,0,0,0,0,1002
