accuracy,loss,val_accuracy,val_loss
0.7148065567016602,0.6943618655204773,0.8443983197212219,0.31300562620162964
0.8278346061706543,0.36737656593322754,0.8394190669059753,0.3054424226284027
0.8339706659317017,0.33234506845474243,0.8464730381965637,0.2848443388938904
0.8701645135879517,0.27674874663352966,0.9145228266716003,0.184210866689682
0.8994219899177551,0.2234192043542862,0.953112006187439,0.14605164527893066
0.9294797778129578,0.1647869199514389,0.940248966217041,0.12782928347587585
0.9470875859260559,0.13025705516338348,0.9742738604545593,0.06524837017059326
0.9543797373771667,0.11935289204120636,0.9618257284164429,0.10782574862241745
0.9692307710647583,0.08349449187517166,0.9921161532402039,0.021463001146912575
0.9699422121047974,0.08343858271837234,0.9941908717155457,0.02032414637506008
0.9805246591567993,0.05635681375861168,0.9970954060554504,0.010029512457549572
0.9802578687667847,0.06372012943029404,0.9962655305862427,0.012672781944274902
0.9839039444923401,0.044443704187870026,0.9975103735923767,0.007741602137684822
0.9820364713668823,0.050316695123910904,0.9962655305862427,0.01277397945523262
0.9844375252723694,0.043547146022319794,0.9970954060554504,0.00991025660187006
