accuracy,loss,val_accuracy,val_loss
0.7246776223182678,0.8241985440254211,0.7398340106010437,0.6502243876457214
0.8556692004203796,0.34830474853515625,0.8917012214660645,0.2660177946090698
0.8992441296577454,0.2581855058670044,0.9618257284164429,0.11241830140352249
0.9432636499404907,0.15257036685943604,0.954356849193573,0.1047741025686264
0.9616718292236328,0.11325015872716904,0.971784234046936,0.0964399054646492
0.9585593342781067,0.12531030178070068,0.95643150806427,0.12398675084114075
0.9803467988967896,0.05639549717307091,0.996680498123169,0.01605362445116043
0.9846153855323792,0.047628313302993774,0.9950207471847534,0.019038908183574677
0.9825700521469116,0.05022057890892029,0.9775933623313904,0.07417381554841995
0.9875500202178955,0.036353014409542084,0.9933609962463379,0.018315788358449936
