accuracy,loss,val_accuracy,val_loss
0.9397954940795898,0.1575813591480255,0.9730290174484253,0.06265079975128174
0.9761672019958496,0.06479556113481522,0.9809128642082214,0.04628312587738037
0.9837260842323303,0.04418100789189339,0.9755186438560486,0.05583224445581436
0.9854157567024231,0.04037656635046005,0.9875518679618835,0.04060327634215355
0.9842596650123596,0.04397030547261238,0.9887966513633728,0.02618592232465744
0.9898621439933777,0.026057066395878792,0.987966775894165,0.031259067356586456
0.9903067946434021,0.025488972663879395,0.9946057796478271,0.015989288687705994
0.9887950420379639,0.035391032695770264,0.9912862777709961,0.025852229446172714
0.9914628863334656,0.029071522876620293,0.9929460287094116,0.020757826045155525
0.9927078485488892,0.019270187243819237,0.9904564023017883,0.033128783106803894
