accuracy,loss,val_accuracy,val_loss
0.632192075252533,1.2041352987289429,0.5813277959823608,1.0195108652114868
0.7867496609687805,0.5031429529190063,0.8327800631523132,0.32756277918815613
0.7950199842453003,0.4532776176929474,0.8365145325660706,0.3106292486190796
0.8027567863464355,0.4323377311229706,0.8265560269355774,0.3659898042678833
0.8024899959564209,0.4191519021987915,0.8344398140907288,0.32923415303230286
0.8160960674285889,0.3687377870082855,0.834854781627655,0.2831936478614807
0.82329922914505,0.338354229927063,0.8622406721115112,0.24258874356746674
0.8435749411582947,0.2970154583454132,0.8639004230499268,0.21778741478919983
0.8555802702903748,0.2651945948600769,0.8721991777420044,0.20455040037631989
0.8739884495735168,0.24910706281661987,0.891286313533783,0.28653255105018616
0.8955091238021851,0.19748780131340027,0.9414937496185303,0.13866035640239716
0.9266340732574463,0.16128765046596527,0.8763485550880432,0.3644421696662903
0.9434415102005005,0.15575233101844788,0.9253112077713013,0.42205795645713806
0.9620275497436523,0.11040113121271133,0.9767634868621826,0.06281715631484985
0.9686082601547241,0.08779757469892502,0.9755186438560486,0.060126617550849915
