accuracy,loss,val_accuracy,val_loss
0.7871053814888,0.490089476108551,0.8697095513343811,0.2840394079685211
0.8895509243011475,0.2379215657711029,0.9377593398094177,0.1306149661540985
0.9473543763160706,0.12679514288902283,0.9605808854103088,0.09428634494543076
0.9664739966392517,0.08910524845123291,0.9908713698387146,0.03521442040801048
0.9781236052513123,0.05697927996516228,0.996680498123169,0.014180812984704971
0.9813250303268433,0.05091257393360138,0.9792531132698059,0.06124647334218025
0.9789239764213562,0.057641346007585526,0.9917012453079224,0.02193227782845497
0.9907514452934265,0.028041234239935875,0.9983402490615845,0.005867978557944298
0.9894174933433533,0.029624586924910545,0.9979252815246582,0.009045563638210297
0.9939528703689575,0.020587000995874405,0.996680498123169,0.013123534619808197
0.9907514452934265,0.034331101924180984,0.9983402490615845,0.005203870590776205
0.9940418004989624,0.02044396474957466,0.9975103735923767,0.009111369028687477
0.9913739562034607,0.029101181775331497,0.998755156993866,0.005506062414497137
0.9933303594589233,0.0210451390594244,0.996680498123169,0.012369629926979542
