accuracy,loss,val_accuracy,val_loss
0.8401956558227539,0.372505784034729,0.9257261157035828,0.20108428597450256
0.9627389907836914,0.09723778814077377,0.9605808854103088,0.1053154468536377
0.9820364713668823,0.053792279213666916,0.9792531132698059,0.06316575407981873
0.9899510741233826,0.03079194948077202,0.9892116189002991,0.0467333048582077
0.9884393215179443,0.036085762083530426,0.9892116189002991,0.039917439222335815
0.9945753812789917,0.01727413572371006,0.9946057796478271,0.023517418652772903
0.9980435967445374,0.005929445847868919,0.9946057796478271,0.021621087566018105
0.9955535531044006,0.012690841220319271,0.9933609962463379,0.02502627670764923
0.9939528703689575,0.02354743704199791,0.9946057796478271,0.02190309390425682
0.9951978921890259,0.01669863611459732,0.996680498123169,0.01935606636106968
0.9977768063545227,0.005750346463173628,0.9929460287094116,0.036053042858839035
0.9934192895889282,0.022929469123482704,0.9838173985481262,0.04514972120523453
0.9999110698699951,0.0010854562278836966,0.996680498123169,0.013677052222192287
1.0,6.725373532390222e-05,0.996680498123169,0.01465086080133915
1.0,1.616930603631772e-05,0.996680498123169,0.015016044490039349
